Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,PlayerId
Hunter Harvey,SIRP,BAL,,30,26.4777777,7/26/16,Rise,60 / 60,,55 / 55,,40 / 40,2400,2200,92-97,99,40,15507
Wil Crowe,MIRP,PIT,,30,26.7277777,4/1/15,Cut,55 / 55,50 / 50,50 / 55,55 / 55,40 / 45,2350,2800,91-94,96,40,19800
Kyle Cody,SIRP,TEX,,30,26.8111111,,,60 / 60,,60 / 60,45 / 50,40 / 40,2200,2550,93-96,98,40,19686
Brendan Cellucci,SIRP,BOS,,30,22.9194444,,Rise,60 / 60,,60 / 60,,20 / 35,,,94-96,97,40,sa3011710
Cayne Ueckert,SIRP,CHC,,30,25.0083333,,Rise,60 / 60,50 / 55,,,40 / 45,,,95-98,99,40,sa3010789
Eduardo Salazar,MIRP,CIN,,30,23.0722222,,Rise,55 / 55,40 / 45,,40 / 45,45 / 55,2350,,94-96,99,35+,23135
Jesus Cruz,SIRP,STL,,30,26.1277777,,Sink,55 / 55,55 / 55,,50 / 50,30 / 35,2200,2750,94-96,98,35+,20042
Nolan Kingham,SP,ATL,,30,24.7861111,,None,50 / 55,40 / 45,,40 / 45,45 / 55,2200,,92-94,96,35+,sa3008224
Mauricio Llovera,SIRP,PHI,,30,25.1222222,,Tail,50 / 50,,45 / 45,,40 / 40,2000,2400,93-95,96,35+,20080
Breiling Eusebio,SIRP,COL,,30,24.6111111,4/18/18,Tail,45 / 50,,50 / 55,45 / 55,35 / 35,2200,2400,89-94,96,35+,sa828552
Alec Bettinger,SP,MIL,,30,25.8833333,,Rise,45 / 45,,50 / 55,,50 / 55,2400,,89-92,94,35+,20312
Brayan Medina,SP,SDP,,30,18.6527777,,,45 / 55,,45 / 55,30 / 45,30 / 45,,,91-92,94,35+,sa3014705
Brett Conine,SIRP,HOU,,30,24.625,,Rise,45 / 45,45 / 45,,55 / 60,45 / 50,2550,2300,90-93,96,35+,sa3008024
Patrick Murphy,SIRP,TOR,,30,25.975,,Sink,60 / 60,,50 / 50,,45 / 45,2100,2300,93-97,99,35+,19712
Elvis Alvarado,SIRP,SEA,,30,22.2722222,,,60 / 70,40 / 50,,,35 / 40,2550,2250,92-95,98,35+,sa919291
Bailey Horn,MIRP,CHW,,30,23.3777777,2/1/18,Rise,50 / 50,50 / 50,50 / 55,,40 / 45,2250,2500,90-93,96,35+,sa3014493
